id,ds,y,created_at
1,2020-01-01,91727,2024-07-17 16:40:21
2,2020-02-01,77753,2024-07-17 16:40:21
3,2020-03-01,92729,2024-07-17 16:40:21
4,2020-04-01,97160,2024-07-17 16:40:21
5,2020-05-01,104420,2024-07-17 16:40:21
6,2020-06-01,118386,2024-07-17 16:40:21
7,2020-07-01,98909,2024-07-17 16:40:21
8,2020-08-01,71546,2024-07-17 16:40:21
9,2020-09-01,77196,2024-07-17 16:40:21
10,2020-10-01,100284,2024-07-17 16:40:21
11,2020-11-01,98103,2024-07-17 16:40:21
12,2020-12-01,82077,2024-07-17 16:40:21
13,2021-01-01,54136,2024-07-17 16:40:21
14,2021-02-01,54247,2024-07-17 16:40:21
15,2021-03-01,98271,2024-07-17 16:40:21
16,2021-04-01,93781,2024-07-17 16:40:21
17,2021-05-01,79909,2024-07-17 16:40:21
18,2021-06-01,89939,2024-07-17 16:40:21
19,2021-07-01,78698,2024-07-17 16:40:21
20,2021-08-01,56238,2024-07-17 16:40:21
21,2021-09-01,67734,2024-07-17 16:40:21
22,2021-10-01,80930,2024-07-17 16:40:21
23,2021-11-01,86703,2024-07-17 16:40:21
24,2021-12-01,77035,2024-07-17 16:40:21
25,2022-01-01,53543,2024-07-17 16:40:21
26,2022-02-01,45831,2024-07-17 16:40:21
27,2022-03-01,64228,2024-07-17 16:40:21
28,2022-04-01,69232,2024-07-17 16:40:21
29,2022-05-01,72842,2024-07-17 16:40:21
30,2022-06-01,68821,2024-07-17 16:40:21
31,2022-07-01,67596,2024-07-17 16:40:21
32,2022-08-01,57521,2024-07-17 16:40:21
33,2022-09-01,61970,2024-07-17 16:40:21
34,2022-10-01,66857,2024-07-17 16:40:21
35,2022-11-01,67596,2024-07-17 16:40:21
36,2022-12-01,56640,2024-07-17 16:40:21
37,2023-01-01,45685,2024-07-17 16:40:21
38,2023-02-01,49081,2024-07-17 16:40:21
39,2023-03-01,73505,2024-07-17 16:40:21
40,2023-04-01,67196,2024-07-17 16:40:21
41,2023-05-01,70347,2024-07-17 16:40:21
42,2023-06-01,70144,2024-07-17 16:40:21
43,2023-07-01,61496,2024-07-17 16:40:21
44,2023-08-01,50298,2024-07-17 16:40:21
45,2023-09-01,44132,2024-07-17 16:40:21
46,2023-10-01,58551,2024-07-17 16:40:21
47,2023-11-01,63069,2024-07-17 16:40:21
48,2023-12-01,54261,2024-07-17 16:40:21
49,2024-01-01,52174,2024-07-17 16:40:21
50,2024-02-01,43396,2024-07-17 16:40:21
51,2024-03-01,56155,2024-07-17 16:40:21
52,2024-04-01,64534,2024-07-17 16:40:21
53,2024-05-01,62495,2024-07-17 16:40:21
54,2024-06-01,54426,2024-07-17 16:40:21
