날짜,쇼핑몰명,팀명,응대호,발신호,총처리호,전화문의고객수,통화고객수
2024-07-22,더세임이,운영지원팀,2,0,2,2,2
2024-07-22,YG셀렉트,전담상담팀,4,0,4,3,3
2024-07-22,쏙스토어,전담상담팀,0,0,0,0,0
2024-07-22,에스엠타운앤드스토어,전담상담팀,14,1,15,14,14
2024-07-22,11am,통합상담 1팀,30,0,30,31,29
2024-07-22,금찌,통합상담 1팀,51,0,51,51,50
2024-07-22,더매거진,통합상담 1팀,7,0,7,7,7
2024-07-22,로아앤제인,통합상담 1팀,11,1,12,12,10
2024-07-22,베리유,통합상담 1팀,5,0,5,5,5
2024-07-22,썸제이,통합상담 1팀,93,2,95,98,86
2024-07-22,아나이스,통합상담 1팀,13,0,13,13,13
2024-07-22,에그이즈커밍,통합상담 1팀,0,0,0,0,0
2024-07-22,원로그,통합상담 1팀,16,0,16,16,16
2024-07-22,칼로,통합상담 1팀,13,2,15,12,12
2024-07-22,콰니,통합상담 1팀,32,2,34,25,25
2024-07-22,키티버니포니,통합상담 1팀,5,0,5,6,5
2024-07-22,폰뿌,통합상담 1팀,50,1,51,48,44
2024-07-22,핫핑,통합상담 1팀,238,0,238,225,214
2024-07-22,stco,통합상담 2팀,10,0,10,11,10
2024-07-22,데일리룩,통합상담 2팀,59,0,59,62,59
2024-07-22,도드리,통합상담 2팀,81,0,81,79,72
2024-07-22,리리앤코,통합상담 2팀,156,0,156,163,139
2024-07-22,리히,통합상담 2팀,1,0,1,1,1
2024-07-22,맘누리,통합상담 2팀,8,0,8,8,8
2024-07-22,미샵,통합상담 2팀,11,0,11,11,10
2024-07-22,시에,통합상담 2팀,38,1,39,33,32
2024-07-22,아임히어로몰,통합상담 2팀,9,2,11,8,8
2024-07-22,어바웃썸,통합상담 2팀,147,2,149,144,131
2024-07-22,제이엘프,통합상담 2팀,14,0,14,14,13
2024-07-22,젬마월드,통합상담 2팀,37,1,38,40,36
2024-07-22,트렌디어패럴,통합상담 2팀,37,0,37,38,34
2024-07-22,포니지엔느,통합상담 2팀,15,0,15,16,14
2024-07-22,하바나선데이,통합상담 2팀,56,1,57,60,52
2024-07-22,CLAPS,통합상담 3(INC)팀,0,0,0,0,0
2024-07-22,PSPSPS,통합상담 3(INC)팀,1,0,1,1,1
2024-07-22,디샌드몰,통합상담 3(INC)팀,1,0,1,1,1
2024-07-22,로지드,통합상담 3(INC)팀,0,0,0,0,0
2024-07-22,무아무아,통합상담 3(INC)팀,2,0,2,2,1
2024-07-22,미차이,통합상담 3(INC)팀,0,0,0,0,0
2024-07-22,부띠크엠,통합상담 3(INC)팀,17,0,17,14,14
2024-07-22,성심공예사,통합상담 3(INC)팀,0,0,0,0,0
2024-07-22,슬립앤슬립,통합상담 3(INC)팀,92,1,93,81,75
2024-07-22,애경에스티,통합상담 3(INC)팀,3,0,3,2,2
2024-07-22,어커버,통합상담 3(INC)팀,2,0,2,2,2
2024-07-22,위프키,통합상담 3(INC)팀,1,0,1,1,1
2024-07-22,프리파니,통합상담 3(INC)팀,2,0,2,2,2
2024-07-22,98도씨,통합상담 4팀,15,0,15,14,14
2024-07-22,GBH,통합상담 4팀,6,0,6,5,5
2024-07-22,갠소,통합상담 4팀,109,1,110,112,105
2024-07-22,고고싱,통합상담 4팀,51,6,57,47,43
2024-07-22,구름,통합상담 4팀,5,0,5,5,5
2024-07-22,그레이레이즈,통합상담 4팀,16,1,17,14,14
2024-07-22,그레이스유,통합상담 4팀,7,1,8,5,5
2024-07-22,롯데웰푸드 스위트몰,통합상담 4팀,10,0,10,10,10
2024-07-22,마리앙플러스,통합상담 4팀,258,5,263,267,243
2024-07-22,마지아룩,통합상담 4팀,92,0,92,92,87
2024-07-22,메이비베이비,통합상담 4팀,38,0,38,34,33
2024-07-22,민스샵,통합상담 4팀,8,0,8,8,8
2024-07-22,소녀레시피,통합상담 4팀,17,0,17,19,17
2024-07-22,아뜨랑스,통합상담 4팀,62,1,63,60,56
2024-07-22,유티크,통합상담 4팀,0,0,0,1,0
2024-07-22,육육걸즈,통합상담 4팀,36,0,36,33,32
2024-07-22,제이슈,통합상담 4팀,67,0,67,68,61
2024-07-22,킨다베이지,통합상담 4팀,6,0,6,6,6
2024-07-22,SHOP LCDC,통합상담 5팀,1,0,1,1,1
2024-07-22,그레이시크,통합상담 5팀,68,1,69,70,63
2024-07-22,닥터블릿,통합상담 5팀,115,5,120,121,105
2024-07-22,더제이수,통합상담 5팀,21,8,29,23,18
2024-07-22,딘트,통합상담 5팀,275,9,284,287,250
2024-07-22,몸빼,통합상담 5팀,34,0,34,34,33
2024-07-22,미아마스빈,통합상담 5팀,12,5,17,12,12
2024-07-22,바이더알,통합상담 5팀,19,4,23,19,16
2024-07-22,브레인랩,통합상담 5팀,0,0,0,0,0
2024-07-22,샤르드,통합상담 5팀,15,1,16,15,14
2024-07-22,솔티스,통합상담 5팀,47,1,48,59,45
2024-07-22,오르시떼,통합상담 5팀,15,1,16,15,12
2024-07-22,이브니에,통합상담 5팀,3,0,3,3,2
2024-07-22,캉골,통합상담 5팀,19,0,19,18,18
2024-07-22,캉골키즈,통합상담 5팀,3,0,3,3,3
2024-07-22,팬암,통합상담 5팀,3,0,3,3,3
2024-07-22,헬렌카민스키,통합상담 5팀,16,1,17,12,12
2024-07-19,YG셀렉트,전담상담팀,1,0,1,1,1
2024-07-19,쏙스토어,전담상담팀,0,0,0,0,0
2024-07-19,에스엠타운앤드스토어,전담상담팀,16,8,24,16,16
2024-07-19,11am,통합상담 1팀,29,0,29,31,28
2024-07-19,금찌,통합상담 1팀,34,0,34,33,32
2024-07-19,더매거진,통합상담 1팀,15,0,15,18,15
2024-07-19,로아앤제인,통합상담 1팀,17,3,20,15,14
2024-07-19,베리유,통합상담 1팀,4,0,4,4,4
2024-07-19,썸제이,통합상담 1팀,83,2,85,86,76
2024-07-19,아나이스,통합상담 1팀,16,0,16,14,13
2024-07-19,에그이즈커밍,통합상담 1팀,2,0,2,3,2
2024-07-19,원로그,통합상담 1팀,23,0,23,22,21
2024-07-19,칼로,통합상담 1팀,12,0,12,10,10
2024-07-19,콰니,통합상담 1팀,22,0,22,22,20
2024-07-19,키티버니포니,통합상담 1팀,4,1,5,4,4
2024-07-19,폰뿌,통합상담 1팀,24,1,25,26,20
2024-07-19,핫핑,통합상담 1팀,189,1,190,191,179
2024-07-19,stco,통합상담 2팀,9,0,9,10,9
2024-07-19,데일리룩,통합상담 2팀,49,0,49,48,47
2024-07-19,도드리,통합상담 2팀,50,0,50,46,46
2024-07-19,리리앤코,통합상담 2팀,136,0,136,135,122
2024-07-19,리히,통합상담 2팀,0,0,0,0,0
2024-07-19,맘누리,통합상담 2팀,10,0,10,8,8
2024-07-19,미샵,통합상담 2팀,13,0,13,11,11
2024-07-19,시에,통합상담 2팀,17,1,18,20,16
2024-07-19,아임히어로몰,통합상담 2팀,14,1,15,13,13
2024-07-19,어바웃썸,통합상담 2팀,71,1,72,71,65
2024-07-19,제이엘프,통합상담 2팀,9,0,9,9,9
2024-07-19,젬마월드,통합상담 2팀,30,0,30,30,29
2024-07-19,트렌디어패럴,통합상담 2팀,20,1,21,18,18
2024-07-19,포니지엔느,통합상담 2팀,12,0,12,14,12
2024-07-19,하바나선데이,통합상담 2팀,31,2,33,36,29
2024-07-19,CLAPS,통합상담 3(INC)팀,0,0,0,0,0
2024-07-19,PSPSPS,통합상담 3(INC)팀,6,0,6,3,3
2024-07-19,디샌드몰,통합상담 3(INC)팀,0,0,0,0,0
2024-07-19,로지드,통합상담 3(INC)팀,0,0,0,0,0
2024-07-19,무아무아,통합상담 3(INC)팀,0,0,0,0,0
2024-07-19,미차이,통합상담 3(INC)팀,1,0,1,1,1
2024-07-19,부띠크엠,통합상담 3(INC)팀,13,7,20,13,13
2024-07-19,성심공예사,통합상담 3(INC)팀,0,0,0,0,0
2024-07-19,슬립앤슬립,통합상담 3(INC)팀,41,0,41,39,39
2024-07-19,애경에스티,통합상담 3(INC)팀,1,0,1,1,1
2024-07-19,어커버,통합상담 3(INC)팀,3,0,3,2,2
2024-07-19,위프키,통합상담 3(INC)팀,0,0,0,0,0
2024-07-19,프리파니,통합상담 3(INC)팀,1,0,1,1,1
2024-07-19,98도씨,통합상담 4팀,12,0,12,12,12
2024-07-19,GBH,통합상담 4팀,5,0,5,4,4
2024-07-19,갠소,통합상담 4팀,114,4,118,106,102
2024-07-19,고고싱,통합상담 4팀,33,4,37,28,27
2024-07-19,구름,통합상담 4팀,5,0,5,5,5
2024-07-19,그레이레이즈,통합상담 4팀,6,0,6,5,5
2024-07-19,그레이스유,통합상담 4팀,3,3,6,4,3
2024-07-19,롯데웰푸드 스위트몰,통합상담 4팀,4,1,5,4,4
2024-07-19,마리앙플러스,통합상담 4팀,0,2,2,0,0
2024-07-19,마지아룩,통합상담 4팀,79,0,79,74,73
2024-07-19,메이비베이비,통합상담 4팀,26,0,26,22,22
2024-07-19,민스샵,통합상담 4팀,5,0,5,5,5
2024-07-19,소녀레시피,통합상담 4팀,14,0,14,12,11
2024-07-19,아뜨랑스,통합상담 4팀,50,0,50,44,42
2024-07-19,유티크,통합상담 4팀,1,0,1,1,1
2024-07-19,육육걸즈,통합상담 4팀,21,1,22,18,18
2024-07-19,제이슈,통합상담 4팀,53,0,53,51,48
2024-07-19,킨다베이지,통합상담 4팀,6,0,6,5,5
2024-07-19,SHOP LCDC,통합상담 5팀,2,0,2,3,2
2024-07-19,그레이시크,통합상담 5팀,53,0,53,55,49
2024-07-19,닥터블릿,통합상담 5팀,95,5,100,93,85
2024-07-19,더제이수,통합상담 5팀,14,6,20,13,13
2024-07-19,딘트,통합상담 5팀,198,3,201,203,181
2024-07-19,몸빼,통합상담 5팀,15,0,15,19,15
2024-07-19,미아마스빈,통합상담 5팀,11,3,14,11,11
2024-07-19,바이더알,통합상담 5팀,19,0,19,15,14
2024-07-19,브레인랩,통합상담 5팀,1,0,1,1,1
2024-07-19,샤르드,통합상담 5팀,9,0,9,11,9
2024-07-19,솔티스,통합상담 5팀,32,0,32,34,30
2024-07-19,오르시떼,통합상담 5팀,23,2,25,26,23
2024-07-19,이브니에,통합상담 5팀,2,0,2,2,2
2024-07-19,캉골,통합상담 5팀,13,0,13,14,13
2024-07-19,캉골키즈,통합상담 5팀,2,0,2,2,2
2024-07-19,팬암,통합상담 5팀,4,0,4,6,4
2024-07-19,헬렌카민스키,통합상담 5팀,9,0,9,9,9
2024-07-18,YG셀렉트,전담상담팀,0,0,0,0,0
2024-07-18,쏙스토어,전담상담팀,0,0,0,0,0
2024-07-18,에스엠타운앤드스토어,전담상담팀,15,0,15,14,14
2024-07-18,11am,통합상담 1팀,39,0,39,40,38
2024-07-18,금찌,통합상담 1팀,44,6,50,40,39
2024-07-18,더매거진,통합상담 1팀,13,0,13,14,12
2024-07-18,로아앤제인,통합상담 1팀,9,0,9,10,7
2024-07-18,베리유,통합상담 1팀,7,0,7,8,7
2024-07-18,썸제이,통합상담 1팀,72,0,72,89,69
2024-07-18,아나이스,통합상담 1팀,12,1,13,12,12
2024-07-18,에그이즈커밍,통합상담 1팀,1,0,1,1,1
2024-07-18,원로그,통합상담 1팀,21,0,21,21,21
2024-07-18,칼로,통합상담 1팀,12,2,14,13,11
2024-07-18,콰니,통합상담 1팀,24,4,28,22,21
2024-07-18,키티버니포니,통합상담 1팀,11,1,12,9,9
2024-07-18,폰뿌,통합상담 1팀,30,0,30,29,27
2024-07-18,핫핑,통합상담 1팀,198,2,200,204,182
2024-07-18,stco,통합상담 2팀,4,0,4,7,4
2024-07-18,데일리룩,통합상담 2팀,61,0,61,67,60
2024-07-18,도드리,통합상담 2팀,36,9,45,38,34
2024-07-18,리리앤코,통합상담 2팀,126,3,129,133,113
2024-07-18,리히,통합상담 2팀,0,0,0,0,0
2024-07-18,맘누리,통합상담 2팀,12,0,12,14,12
2024-07-18,미샵,통합상담 2팀,11,0,11,9,9
2024-07-18,시에,통합상담 2팀,18,0,18,19,18
2024-07-18,아임히어로몰,통합상담 2팀,7,0,7,7,7
2024-07-18,어바웃썸,통합상담 2팀,79,0,79,79,75
2024-07-18,제이엘프,통합상담 2팀,11,0,11,11,10
2024-07-18,젬마월드,통합상담 2팀,38,1,39,44,36
2024-07-18,트렌디어패럴,통합상담 2팀,13,0,13,13,12
2024-07-18,포니지엔느,통합상담 2팀,8,0,8,8,8
2024-07-18,하바나선데이,통합상담 2팀,36,1,37,38,32
2024-07-18,CLAPS,통합상담 3(INC)팀,0,0,0,0,0
2024-07-18,PSPSPS,통합상담 3(INC)팀,2,2,4,3,2
2024-07-18,디샌드몰,통합상담 3(INC)팀,0,0,0,0,0
2024-07-18,로지드,통합상담 3(INC)팀,1,0,1,1,1
2024-07-18,무아무아,통합상담 3(INC)팀,0,0,0,0,0
2024-07-18,미차이,통합상담 3(INC)팀,0,0,0,0,0
2024-07-18,부띠크엠,통합상담 3(INC)팀,14,0,14,11,11
2024-07-18,성심공예사,통합상담 3(INC)팀,0,1,1,0,0
2024-07-18,슬립앤슬립,통합상담 3(INC)팀,83,1,84,69,68
2024-07-18,애경에스티,통합상담 3(INC)팀,2,0,2,2,2
2024-07-18,어커버,통합상담 3(INC)팀,1,0,1,1,1
2024-07-18,위프키,통합상담 3(INC)팀,0,0,0,0,0
2024-07-18,프리파니,통합상담 3(INC)팀,1,0,1,1,1
2024-07-18,98도씨,통합상담 4팀,8,0,8,7,6
2024-07-18,GBH,통합상담 4팀,5,0,5,4,4
2024-07-18,갠소,통합상담 4팀,93,4,97,93,81
2024-07-18,고고싱,통합상담 4팀,33,0,33,38,30
2024-07-18,구름,통합상담 4팀,6,0,6,5,5
2024-07-18,그레이레이즈,통합상담 4팀,12,0,12,12,11
2024-07-18,그레이스유,통합상담 4팀,12,0,12,10,10
2024-07-18,롯데웰푸드 스위트몰,통합상담 4팀,5,0,5,5,5
2024-07-18,마리앙플러스,통합상담 4팀,197,12,209,212,183
2024-07-18,마지아룩,통합상담 4팀,90,0,90,96,86
2024-07-18,메이비베이비,통합상담 4팀,23,0,23,23,22
2024-07-18,민스샵,통합상담 4팀,4,0,4,4,4
2024-07-18,소녀레시피,통합상담 4팀,17,0,17,11,11
2024-07-18,아뜨랑스,통합상담 4팀,54,3,57,64,49
2024-07-18,유티크,통합상담 4팀,1,0,1,1,1
2024-07-18,육육걸즈,통합상담 4팀,19,0,19,19,15
2024-07-18,제이슈,통합상담 4팀,51,1,52,56,44
2024-07-18,킨다베이지,통합상담 4팀,8,1,9,7,6
2024-07-18,SHOP LCDC,통합상담 5팀,1,0,1,2,1
2024-07-18,그레이시크,통합상담 5팀,56,2,58,50,49
2024-07-18,닥터블릿,통합상담 5팀,97,0,97,98,88
2024-07-18,더제이수,통합상담 5팀,22,9,31,23,21
2024-07-18,딘트,통합상담 5팀,214,2,216,214,198
2024-07-18,몸빼,통합상담 5팀,25,0,25,27,24
2024-07-18,미아마스빈,통합상담 5팀,11,3,14,10,10
2024-07-18,바이더알,통합상담 5팀,13,0,13,13,12
2024-07-18,브레인랩,통합상담 5팀,0,0,0,0,0
2024-07-18,샤르드,통합상담 5팀,18,0,18,17,17
2024-07-18,솔티스,통합상담 5팀,41,0,41,36,35
2024-07-18,오르시떼,통합상담 5팀,16,1,17,17,16
2024-07-18,이브니에,통합상담 5팀,2,0,2,3,2
2024-07-18,캉골,통합상담 5팀,8,0,8,9,8
2024-07-18,캉골키즈,통합상담 5팀,2,0,2,2,2
2024-07-18,팬암,통합상담 5팀,3,0,3,3,3
2024-07-18,헬렌카민스키,통합상담 5팀,13,0,13,12,12
2024-07-17,YG셀렉트,전담상담팀,0,0,0,0,0
2024-07-17,쏙스토어,전담상담팀,0,0,0,0,0
2024-07-17,에스엠타운앤드스토어,전담상담팀,7,3,10,5,5
2024-07-17,11am,통합상담 1팀,22,0,22,24,21
2024-07-17,금찌,통합상담 1팀,42,1,43,41,39
2024-07-17,더매거진,통합상담 1팀,14,1,15,18,12
2024-07-17,로아앤제인,통합상담 1팀,16,2,18,18,15
2024-07-17,베리유,통합상담 1팀,10,0,10,10,9
2024-07-17,썸제이,통합상담 1팀,92,3,95,109,85
2024-07-17,아나이스,통합상담 1팀,13,0,13,12,12
2024-07-17,에그이즈커밍,통합상담 1팀,2,0,2,2,2
2024-07-17,원로그,통합상담 1팀,21,1,22,18,18
2024-07-17,칼로,통합상담 1팀,18,1,19,16,16
2024-07-17,콰니,통합상담 1팀,33,4,37,30,30
2024-07-17,키티버니포니,통합상담 1팀,2,0,2,2,2
2024-07-17,폰뿌,통합상담 1팀,26,0,26,28,23
2024-07-17,핫핑,통합상담 1팀,193,4,197,217,185
2024-07-17,stco,통합상담 2팀,10,1,11,10,10
2024-07-17,데일리룩,통합상담 2팀,59,0,59,62,56
2024-07-17,도드리,통합상담 2팀,64,0,64,64,63
2024-07-17,리리앤코,통합상담 2팀,128,0,128,139,123
2024-07-17,리히,통합상담 2팀,0,0,0,0,0
2024-07-17,맘누리,통합상담 2팀,13,1,14,16,13
2024-07-17,미샵,통합상담 2팀,11,0,11,10,10
2024-07-17,시에,통합상담 2팀,25,1,26,24,24
2024-07-17,아임히어로몰,통합상담 2팀,4,0,4,4,4
2024-07-17,어바웃썸,통합상담 2팀,132,1,133,136,125
2024-07-17,제이엘프,통합상담 2팀,13,0,13,15,13
2024-07-17,젬마월드,통합상담 2팀,37,1,38,37,34
2024-07-17,트렌디어패럴,통합상담 2팀,15,1,16,15,14
2024-07-17,포니지엔느,통합상담 2팀,12,1,13,12,12
2024-07-17,하바나선데이,통합상담 2팀,46,3,49,44,41
2024-07-17,CLAPS,통합상담 3(INC)팀,3,0,3,3,3
2024-07-17,PSPSPS,통합상담 3(INC)팀,2,0,2,2,2
2024-07-17,디샌드몰,통합상담 3(INC)팀,1,0,1,1,1
2024-07-17,로지드,통합상담 3(INC)팀,0,0,0,0,0
2024-07-17,무아무아,통합상담 3(INC)팀,1,0,1,1,1
2024-07-17,미차이,통합상담 3(INC)팀,0,0,0,0,0
2024-07-17,부띠크엠,통합상담 3(INC)팀,11,6,17,11,10
2024-07-17,성심공예사,통합상담 3(INC)팀,0,0,0,0,0
2024-07-17,슬립앤슬립,통합상담 3(INC)팀,102,2,104,94,88
2024-07-17,애경에스티,통합상담 3(INC)팀,7,1,8,7,7
2024-07-17,어커버,통합상담 3(INC)팀,2,0,2,1,1
2024-07-17,위프키,통합상담 3(INC)팀,0,0,0,0,0
2024-07-17,프리파니,통합상담 3(INC)팀,1,0,1,2,1
2024-07-17,98도씨,통합상담 4팀,14,0,14,14,14
2024-07-17,GBH,통합상담 4팀,3,0,3,2,2
2024-07-17,갠소,통합상담 4팀,120,0,120,102,98
2024-07-17,고고싱,통합상담 4팀,34,6,40,33,30
2024-07-17,구름,통합상담 4팀,4,0,4,4,4
2024-07-17,그레이레이즈,통합상담 4팀,18,0,18,16,16
2024-07-17,그레이스유,통합상담 4팀,13,0,13,9,9
2024-07-17,롯데웰푸드 스위트몰,통합상담 4팀,2,0,2,2,2
2024-07-17,마리앙플러스,통합상담 4팀,206,1,207,203,192
2024-07-17,마지아룩,통합상담 4팀,58,0,58,61,56
2024-07-17,메이비베이비,통합상담 4팀,28,0,28,24,24
2024-07-17,민스샵,통합상담 4팀,12,0,12,10,10
2024-07-17,소녀레시피,통합상담 4팀,13,0,13,13,12
2024-07-17,아뜨랑스,통합상담 4팀,66,1,67,59,55
2024-07-17,유티크,통합상담 4팀,0,0,0,0,0
2024-07-17,육육걸즈,통합상담 4팀,26,0,26,24,23
2024-07-17,제이슈,통합상담 4팀,67,0,67,69,63
2024-07-17,킨다베이지,통합상담 4팀,9,0,9,9,9
2024-07-17,SHOP LCDC,통합상담 5팀,2,0,2,2,2
